Tabela 2623 - Resultados dos serviços de informação e comunicação - CNAE 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serviços de informação - Agências de notícias e outros serviços de informação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Variável,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Receita operacional líquida (Mil Reais),Coeficiente de variação - Receita operacional líquida (%),Custo das mercadorias revendidas (Mil Reais),Coeficiente de variação - Custo das mercadorias revendidas (%),Subvenções e outras receitas operacionais (Mil Reais),Coeficiente de variação - Subvenções e outras receitas operacionais (%),Valor bruto da produção (Mil Reais),Coeficiente de variação - Valor bruto da produção (%),Consumo intermediário - total (Mil Reais),Coeficiente de variação - Consumo intermediário - total (%),"Consumo intermediário - mercadorias, materiais de consumo e de reposição (Mil Reais)","Coeficiente de variação - Consumo intermediário - mercadorias, materiais de consumo e de reposição (%)",Consumo intermediário - combustíveis e lubrificantes (Mil Reais),Coeficiente de variação - Consumo intermediário - combustíveis e lubrificantes (%),Consumo intermediário - serviços prestados por terceiros (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços prestados por terceiros (%),"Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (Mil Reais)","Coeficiente de variação - Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (%)",Consumo intermediário - prêmios de seguros (Mil Reais),Coeficiente de variação - Consumo intermediário - prêmios de seguros (%),Consumo intermediário - serviços de comunicação (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços de comunicação (%),"Consumo intermediário - energia elétrica, gás, água e esgoto (Mil Reais)","Coeficiente de variação - Consumo intermediário - energia elétrica, gás, água e esgoto (%)",Consumo intermediário - outros custos e despesas operacionais (Mil Reais),Coeficiente de variação - Consumo intermediário - outros custos e despesas operacionais (%),Valor adicionado bruto a preços básicos (Mil Reais),Coeficiente de variação - Valor adicionado bruto a preços básicos (%),Gastos com pessoal - total (Mil Reais),Coeficiente de variação - Gastos com pessoal - total (%),"Gastos com pessoal - salários, retiradas e outras remunerações (Mil Reais)","Coeficiente de variação - Salários, retiradas e outras remunerações (%)",Gastos com pessoal - contribuições para a previdência social (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência social (%),Gastos com pessoal - FGTS (Mil Reais),Coeficiente de variação - Gastos com pessoal - FGTS (%),Gastos com pessoal - contribuições para a previdência privada (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência privada (%),Gastos com pessoal - indenizações trabalhistas (Mil Reais),Coeficiente de variação - Gastos com pessoal - indenizações trabalhistas (%),Gastos com pessoal - benefícios concedidos aos empregados (Mil Reais),Coeficiente de variação - Gastos com pessoal - benefícios concedidos aos empregados (%),PIS sobre folha de pagamento (Mil Reais),Coeficiente de variação - PIS sobre folha de pagamento (%),Excedente operacional bruto (Mil Reais),Coeficiente de variação - Excedente operacional bruto (%),Pessoal ocupado em 31/12 (Pessoas),Coeficiente de variação - Pessoal ocupado em 31/12 (%),Número de empresas (Unidades),Coeficiente de variação - Número de empresas (%)
2007,397811,B,-,Z,1375,A,399186,B,116064,B,25002,B,1164,D,32803,B,10536,B,401,C,17319,C,4182,D,24657,B,283122,B,145698,B,105360,B,20413,B,7912,B,730,A,2180,A,9103,B,...,Z,137424,C,5202,C,1430,D
2008,421744,B,232,D,744,A,422256,B,132806,A,35366,A,1034,C,46552,B,11232,A,893,B,10822,A,3147,C,23760,A,289450,B,149799,A,107650,A,20133,A,8063,A,926,B,2830,B,10195,A,2,Z,139649,C,5109,C,1347,D
2009,542945,B,-,Z,5383,C,548328,B,162131,B,52535,C,1540,D,47386,B,13202,B,230,B,13969,C,5067,C,28202,C,386197,B,204667,B,149352,B,23419,A,11092,B,2090,D,4694,C,14007,B,13,C,181530,C,7477,B,1653,D
2010,686085,B,580,D,3848,B,689353,B,210747,B,52189,C,1285,C,53485,B,14162,B,265,B,31151,C,6521,C,51689,B,478606,B,264440,B,200514,B,27394,A,12433,B,649,C,7623,C,15816,B,11,Z,214166,B,9813,B,2581,C
2011,1189552,B,4766,E,3910,C,1188696,B,279328,B,72301,B,1471,C,64213,B,23798,B,475,A,46094,C,6348,B,64628,B,909368,C,356616,B,267346,B,38409,A,16381,A,1741,B,5920,C,26819,B,-,E,552752,C,13913,B,3511,C
2012,1366951,B,2030,C,3471,C,1368392,B,353381,B,96066,B,3666,B,99766,C,30862,B,807,B,48466,C,7104,B,66644,B,1015012,B,435272,B,319685,B,47374,B,20100,A,1735,C,9623,B,36754,C,1,Z,579741,C,13383,B,3519,C
