Tabela 2623 - Resultados dos serviços de informação e comunicação - CNAE 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serviços de informação - Edição e edição integrada à impressão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Variável,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Receita operacional líquida (Mil Reais),Coeficiente de variação - Receita operacional líquida (%),Custo das mercadorias revendidas (Mil Reais),Coeficiente de variação - Custo das mercadorias revendidas (%),Subvenções e outras receitas operacionais (Mil Reais),Coeficiente de variação - Subvenções e outras receitas operacionais (%),Valor bruto da produção (Mil Reais),Coeficiente de variação - Valor bruto da produção (%),Consumo intermediário - total (Mil Reais),Coeficiente de variação - Consumo intermediário - total (%),"Consumo intermediário - mercadorias, materiais de consumo e de reposição (Mil Reais)","Coeficiente de variação - Consumo intermediário - mercadorias, materiais de consumo e de reposição (%)",Consumo intermediário - combustíveis e lubrificantes (Mil Reais),Coeficiente de variação - Consumo intermediário - combustíveis e lubrificantes (%),Consumo intermediário - serviços prestados por terceiros (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços prestados por terceiros (%),"Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (Mil Reais)","Coeficiente de variação - Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (%)",Consumo intermediário - prêmios de seguros (Mil Reais),Coeficiente de variação - Consumo intermediário - prêmios de seguros (%),Consumo intermediário - serviços de comunicação (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços de comunicação (%),"Consumo intermediário - energia elétrica, gás, água e esgoto (Mil Reais)","Coeficiente de variação - Consumo intermediário - energia elétrica, gás, água e esgoto (%)",Consumo intermediário - outros custos e despesas operacionais (Mil Reais),Coeficiente de variação - Consumo intermediário - outros custos e despesas operacionais (%),Valor adicionado bruto a preços básicos (Mil Reais),Coeficiente de variação - Valor adicionado bruto a preços básicos (%),Gastos com pessoal - total (Mil Reais),Coeficiente de variação - Gastos com pessoal - total (%),"Gastos com pessoal - salários, retiradas e outras remunerações (Mil Reais)","Coeficiente de variação - Salários, retiradas e outras remunerações (%)",Gastos com pessoal - contribuições para a previdência social (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência social (%),Gastos com pessoal - FGTS (Mil Reais),Coeficiente de variação - Gastos com pessoal - FGTS (%),Gastos com pessoal - contribuições para a previdência privada (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência privada (%),Gastos com pessoal - indenizações trabalhistas (Mil Reais),Coeficiente de variação - Gastos com pessoal - indenizações trabalhistas (%),Gastos com pessoal - benefícios concedidos aos empregados (Mil Reais),Coeficiente de variação - Gastos com pessoal - benefícios concedidos aos empregados (%),PIS sobre folha de pagamento (Mil Reais),Coeficiente de variação - PIS sobre folha de pagamento (%),Excedente operacional bruto (Mil Reais),Coeficiente de variação - Excedente operacional bruto (%),Pessoal ocupado em 31/12 (Pessoas),Coeficiente de variação - Pessoal ocupado em 31/12 (%),Número de empresas (Unidades),Coeficiente de variação - Número de empresas (%)
2007,15228480,A,71152,B,87932,B,15245260,A,8668367,A,2727637,A,50825,B,2378223,A,231255,A,13033,A,13595,B,106908,A,3146891,A,6576893,A,3773618,A,2624447,A,521236,A,201977,A,21421,B,78406,A,326131,A,...,Z,2803274,B,112706,A,10233,B
2008,16562731,A,167024,B,196216,A,16591923,A,8951911,A,2434551,B,42305,B,2049156,A,267362,A,16466,A,187366,A,146974,A,3807731,A,7640012,A,4236265,A,2949291,A,593779,A,216187,A,28839,B,103076,A,345016,A,77,C,3403749,B,111282,A,11011,B
2009,17318248,A,96897,B,315462,A,17536813,A,9494028,A,618812,B,43366,A,2141185,B,292607,A,18474,B,262391,B,169530,A,5947663,A,8042785,A,4308636,A,3023597,A,588462,A,218814,A,29637,A,106784,A,341137,A,205,B,3734148,A,114050,A,9975,B
2010,20195231,A,134261,C,330621,A,20391592,A,11421355,A,429741,B,53694,B,2305739,A,326259,A,21394,A,298861,A,217820,B,7767847,A,8970238,A,5130310,A,3561855,A,721234,A,264230,A,43232,D,131974,A,407425,A,360,E,3839929,A,126019,A,12173,A
2011,20614565,A,174004,B,254507,A,20695068,A,11079024,A,413615,A,71086,C,2275081,A,373641,A,23945,A,250079,A,188595,A,7482982,A,9616044,A,5470452,A,3790537,A,749757,A,283651,A,34106,A,160862,A,451108,A,431,B,4145591,B,125890,A,13029,B
2012,20580880,A,425105,B,328751,B,20484526,A,10877148,A,903468,B,56590,A,2280114,A,391275,A,19999,B,225372,A,193277,A,6807053,A,9607378,A,5787581,A,3975453,A,787223,A,296176,A,25481,A,228910,A,474235,A,103,A,3819797,B,122508,A,13209,B
