Tabela 2623 - Resultados dos serviços de informação e comunicação - CNAE 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serviços de informação - Tecnologia da informação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Variável,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Receita operacional líquida (Mil Reais),Coeficiente de variação - Receita operacional líquida (%),Custo das mercadorias revendidas (Mil Reais),Coeficiente de variação - Custo das mercadorias revendidas (%),Subvenções e outras receitas operacionais (Mil Reais),Coeficiente de variação - Subvenções e outras receitas operacionais (%),Valor bruto da produção (Mil Reais),Coeficiente de variação - Valor bruto da produção (%),Consumo intermediário - total (Mil Reais),Coeficiente de variação - Consumo intermediário - total (%),"Consumo intermediário - mercadorias, materiais de consumo e de reposição (Mil Reais)","Coeficiente de variação - Consumo intermediário - mercadorias, materiais de consumo e de reposição (%)",Consumo intermediário - combustíveis e lubrificantes (Mil Reais),Coeficiente de variação - Consumo intermediário - combustíveis e lubrificantes (%),Consumo intermediário - serviços prestados por terceiros (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços prestados por terceiros (%),"Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (Mil Reais)","Coeficiente de variação - Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (%)",Consumo intermediário - prêmios de seguros (Mil Reais),Coeficiente de variação - Consumo intermediário - prêmios de seguros (%),Consumo intermediário - serviços de comunicação (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços de comunicação (%),"Consumo intermediário - energia elétrica, gás, água e esgoto (Mil Reais)","Coeficiente de variação - Consumo intermediário - energia elétrica, gás, água e esgoto (%)",Consumo intermediário - outros custos e despesas operacionais (Mil Reais),Coeficiente de variação - Consumo intermediário - outros custos e despesas operacionais (%),Valor adicionado bruto a preços básicos (Mil Reais),Coeficiente de variação - Valor adicionado bruto a preços básicos (%),Gastos com pessoal - total (Mil Reais),Coeficiente de variação - Gastos com pessoal - total (%),"Gastos com pessoal - salários, retiradas e outras remunerações (Mil Reais)","Coeficiente de variação - Salários, retiradas e outras remunerações (%)",Gastos com pessoal - contribuições para a previdência social (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência social (%),Gastos com pessoal - FGTS (Mil Reais),Coeficiente de variação - Gastos com pessoal - FGTS (%),Gastos com pessoal - contribuições para a previdência privada (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência privada (%),Gastos com pessoal - indenizações trabalhistas (Mil Reais),Coeficiente de variação - Gastos com pessoal - indenizações trabalhistas (%),Gastos com pessoal - benefícios concedidos aos empregados (Mil Reais),Coeficiente de variação - Gastos com pessoal - benefícios concedidos aos empregados (%),PIS sobre folha de pagamento (Mil Reais),Coeficiente de variação - PIS sobre folha de pagamento (%),Excedente operacional bruto (Mil Reais),Coeficiente de variação - Excedente operacional bruto (%),Pessoal ocupado em 31/12 (Pessoas),Coeficiente de variação - Pessoal ocupado em 31/12 (%),Número de empresas (Unidades),Coeficiente de variação - Número de empresas (%)
2007,36753465,A,2003972,A,895726,B,35645220,A,14156216,A,3055520,A,58538,B,5619560,A,905992,A,64594,B,401392,A,225291,A,3825329,A,21489005,A,12845954,A,8805851,A,1882980,A,652860,A,117681,A,166541,A,1220041,A,...,Z,8643050,A,327069,A,44145,B
2008,41000228,A,1999679,A,947987,A,39948536,A,16390485,A,4113263,A,75523,B,6497899,A,986571,A,103555,A,409680,A,210869,A,3993125,A,23558052,A,15288975,A,10426576,A,2252494,A,768389,A,143567,A,217843,A,1479654,A,452,C,8269077,A,339093,A,46250,B
2009,47271883,A,2483793,B,1241866,B,46029956,A,17567994,A,3531366,A,85462,D,7391721,A,1133981,A,38363,B,554973,B,255904,A,4576224,A,28461962,A,18640612,A,12644280,A,2642123,A,896206,A,186974,A,289439,A,1980862,A,728,B,9821351,B,368938,A,48661,B
2010,55146373,A,1911425,A,1450517,A,54685465,A,19011046,A,3630159,A,94495,B,8075905,A,1164325,A,37371,A,560623,A,279611,A,5168557,B,35674419,A,22799207,A,16282716,B,2920554,A,1078294,A,174395,A,281251,A,2059897,A,2100,D,12875212,B,400458,A,55243,B
2011,63965471,A,2535441,A,2285096,A,63715126,A,21689847,A,4585729,A,118153,B,8453231,B,1339214,A,44956,A,650246,A,308215,A,6190103,A,42025278,A,26022073,A,18037054,B,3349593,A,1177182,A,267158,A,441353,A,2744100,A,5633,B,16003206,B,436607,A,54891,B
2012,73911766,A,2919964,A,1229497,A,72221299,A,25670017,A,4641242,B,113260,B,8653634,A,1715871,A,49126,A,833538,A,351892,A,9311454,A,46551282,A,27015806,A,19256770,A,2585812,A,1443787,A,285284,A,423674,A,3018390,A,2089,E,19535477,B,479570,A,59514,B
2013,84587191,A,3193044,A,2174353,A,83568500,A,29635005,A,5682431,A,120628,B,9768079,A,1908702,A,59242,A,962138,A,369016,B,10764769,A,53933495,A,33218149,A,24068310,A,2680177,A,1739912,A,340560,C,579281,A,3806249,A,3660,E,20715347,B,559569,A,66791,B
2014,92818351,A,4532441,A,1916312,A,90202222,A,32494856,A,5903147,A,138554,B,9009772,A,2288992,A,68687,A,1156864,A,404320,A,13524520,A,57707367,A,37638631,A,27378004,A,2841404,A,2038726,A,354133,A,677965,A,4347228,A,1171,B,20068736,A,588168,A,69855,B
2015,102843792,A,3878701,A,2263529,A,101228620,A,37421715,A,6820006,B,149169,B,11736781,A,2670723,A,75539,A,1260392,A,586994,A,14122111,A,63806903,A,42844552,A,30730315,A,3378385,A,2244564,A,327633,A,837589,A,5323884,A,2182,C,20962354,B,580058,A,64553,B
2016,108245474,A,3291001,A,2508597,A,107463070,A,38967029,A,7227277,A,166842,B,12588847,A,2728897,A,77853,A,1185032,A,643335,A,14348946,A,68496041,A,46461551,A,32755426,A,4046066,A,2440650,A,368824,B,1246556,A,5603411,A,618,D,22034490,B,566034,A,62441,B
2017,121442484,A,3361280,A,2260424,A,120341628,A,43173199,A,7016740,A,211505,C,15327008,B,2388820,A,91785,B,1072819,A,592607,A,16471915,A,77168429,A,48100778,A,33738931,A,4167022,A,2531797,A,466188,A,1143659,A,6051923,A,1258,A,29067651,B,551281,A,64179,A
