Tabela 2623 - Resultados dos serviços de informação e comunicação - CNAE 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serviços de informação - Telecomunicações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Variável,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Receita operacional líquida (Mil Reais),Coeficiente de variação - Receita operacional líquida (%),Custo das mercadorias revendidas (Mil Reais),Coeficiente de variação - Custo das mercadorias revendidas (%),Subvenções e outras receitas operacionais (Mil Reais),Coeficiente de variação - Subvenções e outras receitas operacionais (%),Valor bruto da produção (Mil Reais),Coeficiente de variação - Valor bruto da produção (%),Consumo intermediário - total (Mil Reais),Coeficiente de variação - Consumo intermediário - total (%),"Consumo intermediário - mercadorias, materiais de consumo e de reposição (Mil Reais)","Coeficiente de variação - Consumo intermediário - mercadorias, materiais de consumo e de reposição (%)",Consumo intermediário - combustíveis e lubrificantes (Mil Reais),Coeficiente de variação - Consumo intermediário - combustíveis e lubrificantes (%),Consumo intermediário - serviços prestados por terceiros (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços prestados por terceiros (%),"Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (Mil Reais)","Coeficiente de variação - Consumo intermediário - aluguéis de imóveis, veículos, máquinas e equipamentos (%)",Consumo intermediário - prêmios de seguros (Mil Reais),Coeficiente de variação - Consumo intermediário - prêmios de seguros (%),Consumo intermediário - serviços de comunicação (Mil Reais),Coeficiente de variação - Consumo intermediário - serviços de comunicação (%),"Consumo intermediário - energia elétrica, gás, água e esgoto (Mil Reais)","Coeficiente de variação - Consumo intermediário - energia elétrica, gás, água e esgoto (%)",Consumo intermediário - outros custos e despesas operacionais (Mil Reais),Coeficiente de variação - Consumo intermediário - outros custos e despesas operacionais (%),Valor adicionado bruto a preços básicos (Mil Reais),Coeficiente de variação - Valor adicionado bruto a preços básicos (%),Gastos com pessoal - total (Mil Reais),Coeficiente de variação - Gastos com pessoal - total (%),"Gastos com pessoal - salários, retiradas e outras remunerações (Mil Reais)","Coeficiente de variação - Salários, retiradas e outras remunerações (%)",Gastos com pessoal - contribuições para a previdência social (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência social (%),Gastos com pessoal - FGTS (Mil Reais),Coeficiente de variação - Gastos com pessoal - FGTS (%),Gastos com pessoal - contribuições para a previdência privada (Mil Reais),Coeficiente de variação - Gastos com pessoal - contribuições para a previdência privada (%),Gastos com pessoal - indenizações trabalhistas (Mil Reais),Coeficiente de variação - Gastos com pessoal - indenizações trabalhistas (%),Gastos com pessoal - benefícios concedidos aos empregados (Mil Reais),Coeficiente de variação - Gastos com pessoal - benefícios concedidos aos empregados (%),PIS sobre folha de pagamento (Mil Reais),Coeficiente de variação - PIS sobre folha de pagamento (%),Excedente operacional bruto (Mil Reais),Coeficiente de variação - Excedente operacional bruto (%),Pessoal ocupado em 31/12 (Pessoas),Coeficiente de variação - Pessoal ocupado em 31/12 (%),Número de empresas (Unidades),Coeficiente de variação - Número de empresas (%)
2007,106420779,A,7660227,B,3607977,A,102368529,A,54754338,A,1032583,B,106841,A,34826495,A,4662915,A,96650,A,1232355,A,1383588,A,11412911,A,47614192,A,7335987,A,4747630,A,1030751,A,341415,A,120247,A,265305,B,830639,A,...,Z,40278206,A,121540,A,3230,B
2008,120381912,A,9828150,A,3864854,B,114418616,A,63412444,A,1371462,B,96355,A,39567460,A,5420733,A,107748,B,1252543,B,1407331,A,14188812,A,51006172,A,8273831,A,5361604,A,1192485,A,392035,A,140582,A,135642,A,1051266,A,217,C,42732340,A,136294,A,3319,B
2009,125021960,A,7643150,A,4392947,A,121771756,A,68897340,A,1789963,B,86419,B,41263454,A,6183911,A,110719,A,1321314,A,1573732,A,16567828,A,52874417,A,8884890,A,5505035,A,1310834,A,421861,A,174792,A,349176,A,1123134,A,58,B,43989528,A,139349,A,3109,B
2010,131026343,A,5082318,A,3531721,A,129475747,A,71248077,A,2567574,A,111394,A,42264028,A,5816669,A,101754,A,1516194,A,1657514,A,17212950,A,58227669,A,10088347,A,6471127,A,1473707,A,455833,A,139117,A,225409,A,1322125,A,1029,B,48139322,A,157573,A,3632,B
2011,143435374,A,6118279,A,5343530,B,142660625,A,81766636,A,3760740,A,184373,A,46715515,A,6091023,A,109412,A,1718478,B,1820659,A,21366436,A,60893991,A,11659490,A,7505469,A,1672736,A,554156,A,166216,A,166449,A,1594034,A,430,C,49234501,A,191254,A,4351,B
2012,159742035,A,6696124,A,4711639,A,157757550,A,87865057,A,7572781,A,166602,A,45781747,A,7135098,A,133990,A,2162351,A,2057439,A,22855049,A,69892492,A,13224406,A,8344102,A,1806142,A,633606,A,127905,A,365847,A,1946602,A,202,B,56668086,A,196182,A,5421,B
2013,165162006,A,8542901,A,5180093,A,161799198,A,92946412,A,7390406,A,215891,A,47864792,A,8237425,A,164670,A,1968250,A,1908279,A,25196699,A,68852786,A,14491736,A,8958181,A,1970155,A,697116,A,154308,A,500206,A,2211485,A,285,B,54361050,A,202082,A,5868,B
2014,168407528,A,10024671,A,4642100,A,163024957,A,92955291,A,8557107,A,221086,A,43679079,A,9872828,A,169624,A,2396835,A,1975546,A,26083186,A,70069667,A,15161050,A,9567668,A,1905434,A,715337,A,135553,A,632224,A,2204740,A,94,B,54908617,A,201791,A,7093,A
2015,162643396,A,7154956,A,4832990,A,160321430,A,89377760,A,10052403,A,200836,A,37390884,A,11221485,A,144748,A,2347387,A,2451515,A,25568502,A,70943670,A,15602589,A,9894807,A,1947911,A,768815,A,162157,A,384851,A,2443928,A,120,D,55341080,A,194984,A,7360,A
2016,161788570,A,5966107,A,5143603,A,160966066,A,88360327,A,7678514,A,186228,A,34473062,A,12381025,A,185210,A,2613092,A,3246814,A,27596382,A,72605739,A,16071404,A,9982369,A,1884344,A,792298,A,176796,A,673864,A,2561475,A,258,E,56534335,A,192900,A,8016,B
