ano,receita_operacional_liquida,custo_das_mercadorias_revendidas_mil_reais,subvencoes_e_outras_receitas_operacionais_mil_reais,valor_bruto_da_producao,consumo_intermediario_total,consumo_intermediario_mercadorias_materiais_de_consumo_e_de_reposicao,consumo_intermediario_combustiveis_e_lubrificantes,consumo_intermediario_servicos_prestados_por_terceiros,consumo_intermediario_alugueis_de_imoveis_veiculos_maquinas_e_equipamentos,consumo_intermediario_premios_de_seguros,consumo_intermediario_servicos_de_comunicacao,consumo_intermediario_energia_eletrica_gas_agua_e_esgoto,consumo_intermediario_outros_custos_e_despesas_operacionais,valor_adicionado_bruto_a_precos_basicos,gastos_com_pessoal_total,gastos_com_pessoal_salarios_retiradas_e_outras_remuneracoes,gastos_com_pessoal_contribuicoes_para_a_previdencia_social,gastos_com_pessoal_fgts,gastos_com_pessoal_contribuicoes_para_a_previdencia_privada,gastos_com_pessoal_indenizacoes_trabalhistas,gastos_com_pessoal_beneficios_concedidos_aos_empregados,pis_sobre_folha_de_pagamento,excedente_operacional_bruto,pessoal_ocupado_em_31_12_pessoas,numero_de_empresas_unidades,setor
2007,397811.0,5593.0,1375.0,399186.0,116064.0,25002.0,1164.0,32803.0,10536.0,401.0,17319.0,4182.0,24657.0,283122.0,145698.0,105360.0,20413.0,7912.0,730.0,2180.0,9103.0,13.0,137424.0,5202.0,1430.0,agencia_noticias
2008,421744.0,232.0,744.0,422256.0,132806.0,35366.0,1034.0,46552.0,11232.0,893.0,10822.0,3147.0,23760.0,289450.0,149799.0,107650.0,20133.0,8063.0,926.0,2830.0,10195.0,2.0,139649.0,5109.0,1347.0,agencia_noticias
2009,542945.0,5593.0,5383.0,548328.0,162131.0,52535.0,1540.0,47386.0,13202.0,230.0,13969.0,5067.0,28202.0,386197.0,204667.0,149352.0,23419.0,11092.0,2090.0,4694.0,14007.0,13.0,181530.0,7477.0,1653.0,agencia_noticias
2010,686085.0,580.0,3848.0,689353.0,210747.0,52189.0,1285.0,53485.0,14162.0,265.0,31151.0,6521.0,51689.0,478606.0,264440.0,200514.0,27394.0,12433.0,649.0,7623.0,15816.0,11.0,214166.0,9813.0,2581.0,agencia_noticias
2011,1189552.0,4766.0,3910.0,1188696.0,279328.0,72301.0,1471.0,64213.0,23798.0,475.0,22223.0,6348.0,64628.0,909368.0,356616.0,267346.0,38409.0,16381.0,1741.0,5920.0,26819.0,13.0,552752.0,13913.0,3511.0,agencia_noticias
2012,1366951.0,2030.0,3471.0,1368392.0,353381.0,96066.0,3666.0,99766.0,30862.0,807.0,22223.0,7104.0,66644.0,1015012.0,435272.0,319685.0,47374.0,20100.0,1735.0,9623.0,36754.0,1.0,579741.0,13383.0,3519.0,agencia_noticias
2013,1560481.0,13723.0,5696.0,1552454.0,457961.0,72301.0,7425.0,98065.0,39948.0,1080.0,18108.0,10192.0,114879.0,1094493.0,521979.0,394602.0,49765.0,26304.0,2497.0,12165.0,36633.0,13.0,572516.0,18786.0,4642.0,agencia_noticias
2014,1629763.0,3535.0,4455.0,1630683.0,395850.0,91370.0,12209.0,95604.0,39525.0,1779.0,22916.0,11588.0,120859.0,1234833.0,603318.0,449638.0,50308.0,26069.0,2810.0,16562.0,57893.0,38.0,631517.0,18295.0,5439.0,agencia_noticias
2015,1724243.0,5593.0,5293.0,1723943.0,442568.0,54412.0,7053.0,169511.0,55840.0,1407.0,22336.0,14988.0,117021.0,1281376.0,649437.0,486302.0,52143.0,29932.0,4274.0,17730.0,59056.0,13.0,631940.0,19220.0,5524.0,agencia_noticias
2016,2193653.0,70269.0,8490.0,2131874.0,669068.0,58738.0,8424.0,232031.0,39525.0,1615.0,33614.0,10192.0,177057.0,1462807.0,652924.0,492614.0,51970.0,34158.0,4479.0,17783.0,51892.0,28.0,809883.0,20042.0,5648.0,agencia_noticias
